10081,pikachu-belle,25,4,60,112,38,0
10082,pikachu-pop-star,25,4,60,112,39,0
10083,pikachu-phd,25,4,60,112,40,0
10084,pikachu-libre,25,4,60,112,41,0
10085,pikachu-cosplay,25,4,60,112,36,0
10086,hoopa-unbound,720,65,4900,306,866,0
10087,camerupt-mega,323,25,3205,196,435,0
10088,lopunny-mega,428,13,283,203,559,0
10089,salamence-mega,373,18,1126,315,495,0
10090,beedrill-mega,15,14,405,223,20,0
10091,rattata-alola,19,3,38,51,26,0
10092,raticate-alola,20,7,255,145,28,0
10093,raticate-totem-alola,20,14,1050,145,29,0
10094,pikachu-original-cap,25,4,60,112,42,0
10095,pikachu-hoenn-cap,25,4,60,112,43,0
10096,pikachu-sinnoh-cap,25,4,60,112,44,0
10097,pikachu-unova-cap,25,4,60,112,45,0
10098,pikachu-kalos-cap,25,4,60,112,46,0
10099,pikachu-alola-cap,25,4,60,112,47,0
10100,raichu-alola,26,7,210,243,52,0
10101,sandshrew-alola,27,7,400,60,54,0
10102,sandslash-alola,28,12,550,158,56,0
10103,vulpix-alola,37,6,99,60,67,0
10104,ninetales-alola,38,11,199,177,69,0
10105,diglett-alola,50,2,10,53,85,0
10106,dugtrio-alola,51,7,666,149,87,0
10107,meowth-alola,52,4,42,58,89,0
10108,persian-alola,53,11,330,154,92,0
10109,geodude-alola,74,4,203,60,116,0
10110,graveler-alola,75,10,1100,137,118,0
10111,golem-alola,76,17,3160,223,120,0
10112,grimer-alola,88,7,420,65,142,0
10113,muk-alola,89,10,520,175,144,0
10114,exeggutor-alola,103,109,4156,186,162,0
10115,marowak-alola,105,10,340,149,165,0
10116,greninja-battle-bond,658,15,400,239,789,0
10117,greninja-ash,658,15,400,288,790,0
10118,zygarde-10-power-construct,718,12,335,243,860,0
10119,zygarde-50-power-construct,718,50,3050,300,861,0
10120,zygarde-complete,718,45,6100,354,862,0
10121,gumshoos-totem,735,14,600,146,882,0
10122,vikavolt-totem,738,26,1475,225,886,0
10123,oricorio-pom-pom,741,6,34,167,890,0
10124,oricorio-pau,741,6,34,167,891,0
10125,oricorio-sensu,741,6,34,167,892,0
10126,lycanroc-midnight,745,11,250,170,899,0
10127,wishiwashi-school,746,82,786,217,902,0
10128,lurantis-totem,754,15,580,168,912,0
10129,salazzle-totem,758,21,810,168,917,0
10130,minior-orange-meteor,774,3,400,154,934,0
10131,minior-yellow-meteor,774,3,400,154,935,0
10132,minior-green-meteor,774,3,400,154,936,0
10133,minior-blue-meteor,774,3,400,154,937,0
10134,minior-indigo-meteor,774,3,400,154,938,0
10135,minior-violet-meteor,774,3,400,154,939,0
10136,minior-red,774,3,3,175,940,0
10137,minior-orange,774,3,3,175,941,0
10138,minior-yellow,774,3,3,175,942,0
10139,minior-green,774,3,3,175,943,0
10140,minior-blue,774,3,3,175,944,0
10141,minior-indigo,774,3,3,175,945,0
10142,minior-violet,774,3,3,175,946,0
10143,mimikyu-busted,778,2,7,167,952,0
10144,mimikyu-totem-disguised,778,4,28,167,953,0
10145,mimikyu-totem-busted,778,4,28,167,954,0
10146,kommo-o-totem,784,24,2075,270,961,0
10147,magearna-original,801,10,805,300,982,0
10148,pikachu-partner-cap,25,4,60,112,48,0
10149,marowak-totem,105,17,980,149,166,0
10150,ribombee-totem,743,4,20,162,895,0
10151,rockruff-own-tempo,744,5,92,56,897,0
10152,lycanroc-dusk,745,8,250,170,900,0
10153,araquanid-totem,752,31,2175,159,909,0
10154,togedemaru-totem,777,6,130,152,950,0
10155,necrozma-dusk,800,38,4600,340,978,0
10156,necrozma-dawn,800,42,3500,340,979,0
10157,necrozma-ultra,800,75,2300,339,980,0
10158,pikachu-starter,25,4,60,86,49,0
10159,eevee-starter,133,3,65,87,216,0
10160,pikachu-world-cap,25,4,60,112,50,0
10161,meowth-galar,52,4,75,58,90,0
10162,ponyta-galar,77,8,240,82,122,0
10163,rapidash-galar,78,17,800,175,124,0
10164,slowpoke-galar,79,12,360,63,126,0
10165,slowbro-galar,80,16,705,172,129,0
10166,farfetchd-galar,83,8,420,132,136,0
10167,weezing-galar,110,30,160,172,175,0
10168,mr-mime-galar,122,14,568,161,195,0
10169,articuno-galar,144,17,509,290,237,0
10170,zapdos-galar,145,16,582,290,239,0
10171,moltres-galar,146,20,660,290,241,0
10172,slowking-galar,199,18,795,172,131,0
10173,corsola-galar,222,6,5,144,322,0
10174,zigzagoon-galar,263,4,175,56,362,0
10175,linoone-galar,264,5,325,147,364,0
10176,darumaka-galar,554,7,400,63,672,0
10177,darmanitan-galar-standard,555,17,1200,168,675,0
10178,darmanitan-galar-zen,555,17,1200,189,676,0
10179,yamask-galar,562,5,15,61,684,0
10180,stunfisk-galar,618,7,205,165,741,0
10181,zygarde-10,718,12,335,243,859,0
10182,cramorant-gulping,845,8,180,166,1027,0
10183,cramorant-gorging,845,8,180,166,1028,0
10184,toxtricity-low-key,849,16,400,176,1033,0
10185,eiscue-noice,875,14,890,165,1060,0
10186,indeedee-female,876,9,280,166,1062,0
10187,morpeko-hangry,877,3,30,153,1064,0
10188,zacian-crowned,888,28,3550,360,1076,0
10189,zamazenta-crowned,889,29,7850,360,1078,0
10190,eternatus-eternamax,890,1000,0,563,1080,0
10191,urshifu-rapid-strike,892,19,1050,275,1083,0
10192,zarude-dada,893,18,700,300,1085,0
10193,calyrex-ice,898,24,8091,340,1091,0
10194,calyrex-shadow,898,24,536,340,1092,0
10195,venusaur-gmax,3,240,10000,236,,0
10196,charizard-gmax,6,280,10000,240,,0
10197,blastoise-gmax,9,250,10000,239,,0
10198,butterfree-gmax,12,170,10000,178,,0
10199,pikachu-gmax,25,210,10000,112,,0
10200,meowth-gmax,52,330,10000,58,,0
10201,machamp-gmax,68,250,10000,227,,0
10202,gengar-gmax,94,200,10000,225,,0
10203,kingler-gmax,99,190,10000,166,,0
10204,lapras-gmax,131,240,10000,187,,0
10205,eevee-gmax,133,180,10000,65,,0
10206,snorlax-gmax,143,350,10000,189,,0
10207,garbodor-gmax,569,210,10000,166,,0
10208,melmetal-gmax,809,250,10000,270,,0
10209,rillaboom-gmax,812,280,10000,265,,0
10210,cinderace-gmax,815,270,10000,265,,0
10211,inteleon-gmax,818,400,10000,265,,0
10212,corviknight-gmax,823,140,10000,248,,0
10213,orbeetle-gmax,826,140,10000,253,,0
10214,drednaw-gmax,834,240,10000,170,,0
10215,coalossal-gmax,839,420,10000,255,,0
10216,flapple-gmax,841,240,10000,170,,0
10217,appletun-gmax,842,240,10000,170,,0
10218,sandaconda-gmax,844,220,10000,179,,0
10219,toxtricity-amped-gmax,849,240,10000,176,,0
10220,centiskorch-gmax,851,750,10000,184,,0
10221,hatterene-gmax,858,260,10000,255,,0
10222,grimmsnarl-gmax,861,320,10000,255,,0
10223,alcremie-gmax,869,300,10000,173,,0
10224,copperajah-gmax,879,230,10000,175,,0
10225,duraludon-gmax,884,430,10000,187,,0
10226,urshifu-single-strike-gmax,892,290,10000,275,,0
10227,urshifu-rapid-strike-gmax,892,260,10000,275,,0
10228,toxtricity-low-key-gmax,849,240,10000,176,,0
10229,growlithe-hisui,58,8,227,70,,0
10230,arcanine-hisui,59,20,1680,194,,0
10231,voltorb-hisui,100,5,130,66,,0
10232,electrode-hisui,101,12,710,172,,0
10233,typhlosion-hisui,157,16,698,240,,0
10234,qwilfish-hisui,211,5,39,88,,0
10235,sneasel-hisui,215,9,270,86,,0
10236,samurott-hisui,503,15,582,238,,0
10237,lilligant-hisui,549,12,192,168,,0
10238,zorua-hisui,570,7,125,66,,0
10239,zoroark-hisui,571,16,730,179,,0
10240,braviary-hisui,628,17,434,179,,0
10241,sliggoo-hisui,705,7,685,158,,0
10242,goodra-hisui,706,17,3341,270,,0
10243,avalugg-hisui,713,14,2624,180,,0
10244,decidueye-hisui,724,16,370,239,,0
10245,dialga-origin,483,70,8487,306,,0
10246,palkia-origin,484,63,6590,306,,0
10247,basculin-white-striped,550,10,180,161,,0
10248,basculegion-female,902,30,1100,265,,0
10249,enamorus-therian,905,16,480,116,,0
10250,tauros-paldea-combat-breed,128,14,1150,172,,0
10251,tauros-paldea-blaze-breed,128,14,850,172,,0
10252,tauros-paldea-aqua-breed,128,14,1100,172,,0
10253,wooper-paldea,194,4,110,42,,0
10254,oinkologne-female,916,10,1200,171,,0
10255,dudunsparce-three-segment,982,45,474,182,,0
10256,palafin-hero,964,18,974,160,,0
10257,maushold-family-of-three,925,3,23,165,,0
10258,tatsugiri-droopy,978,3,80,166,,0
10259,tatsugiri-stretchy,978,3,80,166,,0
10260,squawkabilly-blue-plumage,931,6,24,146,,0
10261,squawkabilly-yellow-plumage,931,6,24,146,,0
10262,squawkabilly-white-plumage,931,6,24,146,,0
10263,gimmighoul-roaming,999,1,10,60,,0
10264,koraidon-limited-build,1007,35,3030,335,,0
10265,koraidon-sprinting-build,1007,35,3030,335,,0
10266,koraidon-swimming-build,1007,35,3030,335,,0
10267,koraidon-gliding-build,1007,35,3030,335,,0
10268,miraidon-low-power-mode,1008,28,2400,335,,0
10269,miraidon-drive-mode,1008,28,2400,335,,0
10270,miraidon-aquatic-mode,1008,28,2400,335,,0
10271,miraidon-glide-mode,1008,28,2400,335,,0
10272,ursaluna-bloodmoon,901,24,2900,275,,0
10273,ogerpon-wellspring-mask,1017,12,398,275,,0
10274,ogerpon-hearthflame-mask,1017,12,398,275,,0
10275,ogerpon-cornerstone-mask,1017,12,398,275,,0
10276,terapagos-terastal,1024,3,160,90,,0
10277,terapagos-stellar,1024,17,770,90,,0
10278,clefable-mega,36,17,423,,,0
10279,victreebel-mega,71,45,1255,,,0
10280,starmie-mega,121,23,800,,,0
10281,dragonite-mega,149,22,2900,,,0
10282,meganium-mega,154,24,2010,,,0
10283,feraligatr-mega,160,23,1088,,,0
10284,skarmory-mega,227,17,404,,,0
10285,froslass-mega,478,26,296,,,0
10286,emboar-mega,500,18,1803,,,0
10287,excadrill-mega,530,9,600,,,0
10288,scolipede-mega,545,32,2305,,,0
10289,scrafty-mega,560,11,310,,,0
10290,eelektross-mega,604,30,1800,,,0
10291,chandelure-mega,609,25,696,,,0
10292,chesnaught-mega,652,16,900,,,0
10293,delphox-mega,655,15,390,,,0
10294,greninja-mega,658,15,400,,,0
10295,pyroar-mega,668,15,933,,,0
10296,floette-mega,670,2,1008,,,0
10297,malamar-mega,687,29,698,,,0
10298,barbaracle-mega,689,22,1000,,,0
10299,dragalge-mega,691,21,1003,,,0
10300,hawlucha-mega,701,10,250,,,0
10301,zygarde-mega,718,77,6100,,,0
10302,drampa-mega,780,30,2405,,,0
10303,falinks-mega,870,16,990,,,0
10304,raichu-mega-x,26,12,380,,,0
10305,raichu-mega-y,26,10,260,,,0
10306,chimecho-mega,358,12,80,,,0
10307,absol-mega-z,359,12,490,,,0
10308,staraptor-mega,398,19,500,,,0
10309,garchomp-mega-z,445,19,990,,,0
10310,lucario-mega-z,448,13,494,,,0
10311,heatran-mega,485,28,5700,,,0
10312,darkrai-mega,491,30,2400,,,0
10313,golurk-mega,623,40,3300,,,0
10314,meowstic-mega,678,8,101,,,0
10315,crabominable-mega,740,26,2528,,,0
10316,golisopod-mega,768,23,1480,,,0
10317,magearna-mega,801,13,2481,,,0
10318,magearna-original-mega,801,13,2481,,,0
10319,zeraora-mega,807,15,445,,,0
10320,scovillain-mega,952,12,220,,,0
10321,glimmora-mega,970,28,770,,,0
10322,tatsugiri-curly-mega,978,6,240,,,0
10323,tatsugiri-droopy-mega,978,6,240,,,0
10324,tatsugiri-stretchy-mega,978,6,240,,,0
10325,baxcalibur-mega,998,21,3150,,,0
